#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
C0000000008_ptg000008l:850268-852322   -            685 1653at4891           -            641  6.7e-208  683.4   5.6   1   1  1.3e-207  3.2e-207  681.2   5.6   141   633     1   634     1   643 0.84 -
C0000000005_ptg000005l:1307489-1309663 -            725 1653at4891           -            641   5.9e-73  237.6   5.6   1   3   3.6e-52   8.9e-52  167.6   0.8     2   254     2   243     1   248 0.92 -
C0000000005_ptg000005l:1307489-1309663 -            725 1653at4891           -            641   5.9e-73  237.6   5.6   2   3   4.5e-14   1.1e-13   41.8   0.0   214   301   247   339   241   351 0.90 -
C0000000005_ptg000005l:1307489-1309663 -            725 1653at4891           -            641   5.9e-73  237.6   5.6   3   3   1.3e-09     3e-09   27.1   0.5   324   524   405   598   385   677 0.78 -
C0000000010_ptg000010l:93695-94714     -            340 1653at4891           -            641   2.1e-33  106.9   6.7   1   2   2.5e-18     6e-18   55.9   0.8   115   253     4   147     2   165 0.82 -
C0000000010_ptg000010l:93695-94714     -            340 1653at4891           -            641   2.1e-33  106.9   6.7   2   2   1.1e-15   2.8e-15   47.1   0.5   105   225   209   328   168   329 0.75 -
C0000000002_ptg000002l:203021-203761   -            247 1653at4891           -            641   2.9e-31   99.9   0.6   1   2   2.9e-25   6.9e-25   78.8   0.4    90   256    32   196     4   200 0.88 -
C0000000002_ptg000002l:203021-203761   -            247 1653at4891           -            641   2.9e-31   99.9   0.6   2   2   2.1e-09   5.1e-09   26.4   0.0   191   252   173   235   166   244 0.86 -
C0000000010_ptg000010l:74458-75252     -            265 1653at4891           -            641   7.4e-28   88.6   0.0   1   2   4.9e-21   1.2e-20   64.8   0.0    96   252     3   164     1   178 0.89 -
C0000000010_ptg000010l:74458-75252     -            265 1653at4891           -            641   7.4e-28   88.6   0.0   2   2   3.8e-08   9.3e-08   22.2   0.0    87   166   181   264   173   265 0.82 -
C0000000010_ptg000010l:113081-114064   -            328 1653at4891           -            641   1.1e-27   88.0   0.0   1   1     6e-28   1.5e-27   87.6   0.0     6   250    28   276    23   288 0.88 -
C0000000014_ptg000014l:156970-157761   -            264 1653at4891           -            641   1.7e-25   80.8   3.7   1   4   3.5e-09   8.5e-09   25.6   0.0   191   252     5    67     2    82 0.84 -
C0000000014_ptg000014l:156970-157761   -            264 1653at4891           -            641   1.7e-25   80.8   3.7   2   4   0.00014   0.00035   10.4   0.0    93   172    77   154    72   161 0.85 -
C0000000014_ptg000014l:156970-157761   -            264 1653at4891           -            641   1.7e-25   80.8   3.7   3   4   6.5e-14   1.6e-13   41.3   1.6    87   169   162   243   155   246 0.95 -
C0000000014_ptg000014l:156970-157761   -            264 1653at4891           -            641   1.7e-25   80.8   3.7   4   4   8.9e-06   2.2e-05   14.4   0.0   190   223   222   255   217   263 0.86 -
C0000000013_ptg000013l:114580-115356   -            259 1653at4891           -            641   4.6e-24   76.1   4.7   1   2   0.00069    0.0017    8.1   0.1   190   239    50    99    44   104 0.89 -
C0000000013_ptg000013l:114580-115356   -            259 1653at4891           -            641   4.6e-24   76.1   4.7   2   2   3.1e-22   7.4e-22   68.8   1.7   107   252   104   257    96   258 0.80 -
C0000000001_ptg000001l:153968-154747   -            260 1653at4891           -            641   1.1e-15   48.4   7.0   1   3   6.4e-08   1.6e-07   21.5   0.1   199   250     1    54     1    59 0.90 -
C0000000001_ptg000001l:153968-154747   -            260 1653at4891           -            641   1.1e-15   48.4   7.0   2   3   2.8e-08   6.8e-08   22.7   0.5   195   252   104   161    98   191 0.86 -
C0000000001_ptg000001l:153968-154747   -            260 1653at4891           -            641   1.1e-15   48.4   7.0   3   3    0.0012    0.0028    7.4   0.1   170   243   186   253   165   260 0.59 -
C0000000017_ptg000017l:164125-164850   -            242 1653at4891           -            641   1.7e-14   44.4   0.0   1   3   2.2e-08   5.4e-08   23.0   0.0   198   252    17    72     6    81 0.86 -
C0000000017_ptg000017l:164125-164850   -            242 1653at4891           -            641   1.7e-14   44.4   0.0   2   3     0.035     0.085    2.5   0.0   214   264    95   143    89   171 0.62 -
C0000000017_ptg000017l:164125-164850   -            242 1653at4891           -            641   1.7e-14   44.4   0.0   3   3   4.1e-06   9.9e-06   15.5   0.0   195   253   181   237   173   241 0.86 -
C0000000008_ptg000008l:609464-610291   -            276 1653at4891           -            641   1.4e-12   38.1   0.8   1   2    0.0029     0.007    6.1   0.0   203   246    57    98    47   105 0.83 -
C0000000008_ptg000008l:609464-610291   -            276 1653at4891           -            641   1.4e-12   38.1   0.8   2   2   1.4e-10   3.4e-10   30.3   0.4    91   250   114   275   109   276 0.83 -
C0000000003_ptg000003l:855700-857265   -            521 1653at4891           -            641   4.7e-09   26.5   0.1   1   2   2.7e-06   6.5e-06   16.1   0.1   107   168   256   317   251   325 0.93 -
C0000000003_ptg000003l:855700-857265   -            521 1653at4891           -            641   4.7e-09   26.5   0.1   2   2   0.00066    0.0016    8.2   0.0    71   127   369   427   360   440 0.76 -
C0000000007_ptg000007l:423866-425314   -            483 1653at4891           -            641   1.3e-08   25.1   0.8   1   3   0.00059    0.0014    8.4   0.0    67   215    46   201    22   202 0.73 -
