# BUSCO version is: 5.1.2 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at4891	Complete	C0000000004_ptg000004l	328702	343431	-	4422.4	3519	https://www.orthodb.org/v10?query=0at4891	Midasin
6at4891	Complete	C0000000015_ptg000015l	303505	314739	+	4252.1	2957	https://www.orthodb.org/v10?query=6at4891	PIK-related kinase
23at4891	Complete	C0000000004_ptg000004l	39711	49142	-	2474.5	2193	https://www.orthodb.org/v10?query=23at4891	Vacuolar protein sorting-associated protein
42at4891	Complete	C0000000006_ptg000006l	580756	587394	+	3449.4	1774	https://www.orthodb.org/v10?query=42at4891	Carbamoyl-phosphate synthase small subunit, N-terminal domain
50at4891	Complete	C0000000004_ptg000004l	286564	295425	-	1717.7	1698	https://www.orthodb.org/v10?query=50at4891	Protein CSF1
61at4891	Complete	C0000000005_ptg000005l	146167	155970	-	2068.3	1936	https://www.orthodb.org/v10?query=61at4891	E3 ubiquitin ligase, domain of unknown function DUF908
85at4891	Complete	C0000000015_ptg000015l	430453	437694	-	3299.1	1836	https://www.orthodb.org/v10?query=85at4891	Pre-mRNA-processing-splicing factor 8
86at4891	Complete	C0000000014_ptg000014l	116568	123266	+	3355.2	1831	https://www.orthodb.org/v10?query=86at4891	Acetyl-CoA carboxylase
93at4891	Complete	C0000000008_ptg000008l	963278	971293	-	2038.9	1599	https://www.orthodb.org/v10?query=93at4891	protein kinase regulator activity
95at4891	Complete	C0000000005_ptg000005l	1350012	1356446	+	3250.4	1793	https://www.orthodb.org/v10?query=95at4891	Glutamate synthase
115at4891	Complete	C0000000016_ptg000016l	333316	340179	+	1745.3	1463	https://www.orthodb.org/v10?query=115at4891	transcriptional activator leucine zipper
145at4891	Complete	C0000000002_ptg000002l	307307	314410	-	1239.4	1233	https://www.orthodb.org/v10?query=145at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
154at4891	Complete	C0000000002_ptg000002l	748308	756668	+	356.4	243	https://www.orthodb.org/v10?query=154at4891	Serine/threonine-protein kinase Tel1
170at4891	Complete	C0000000014_ptg000014l	623019	629675	-	2382.8	1637	https://www.orthodb.org/v10?query=170at4891	DNA polymerase epsilon catalytic subunit
216at4891	Complete	C0000000013_ptg000013l	272561	278260	-	1390.6	1038	https://www.orthodb.org/v10?query=216at4891	Phosphatidylinositol 3-/4-kinase, catalytic domain
227at4891	Complete	C0000000008_ptg000008l	1001593	1006527	+	2559.9	1454	https://www.orthodb.org/v10?query=227at4891	Clathrin heavy chain
245at4891	Complete	C0000000011_ptg000011l	956450	961438	+	2452.6	1386	https://www.orthodb.org/v10?query=245at4891	DNA-directed RNA polymerase subunit
274at4891	Complete	C0000000017_ptg000017l	566963	573097	-	2846.2	1638	https://www.orthodb.org/v10?query=274at4891	Fatty acid synthase
300at4891	Complete	C0000000001_ptg000001l	79508	85876	-	1278.7	899	https://www.orthodb.org/v10?query=300at4891	Phosphatidylinositol-4-phosphate 5-kinase, core
331at4891	Complete	C0000000006_ptg000006l	541297	546603	+	1281.5	1386	https://www.orthodb.org/v10?query=331at4891	BP28, C-terminal domain
364at4891	Complete	C0000000005_ptg000005l	816578	821341	-	1880.6	1240	https://www.orthodb.org/v10?query=364at4891	Pentafunctional AROM polypeptide
365at4891	Complete	C0000000005_ptg000005l	1295110	1300284	+	2554.8	1450	https://www.orthodb.org/v10?query=365at4891	DNA-directed RNA polymerase subunit
369at4891	Complete	C0000000017_ptg000017l	167859	172448	+	1371.1	923	https://www.orthodb.org/v10?query=369at4891	Phospholipase
394at4891	Complete	C0000000010_ptg000010l	48437	54703	-	1255.7	1104	https://www.orthodb.org/v10?query=394at4891	CCR4-NOT transcription complex subunit 1, HEAT repeat 1
414at4891	Complete	C0000000011_ptg000011l	540744	545123	-	2266.5	1199	https://www.orthodb.org/v10?query=414at4891	DNA-directed RNA polymerase subunit
419at4891	Complete	C0000000011_ptg000011l	608461	612114	-	2194.3	1056	https://www.orthodb.org/v10?query=419at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
425at4891	Complete	C0000000003_ptg000003l	358676	362284	+	1903.7	992	https://www.orthodb.org/v10?query=425at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
431at4891	Complete	C0000000002_ptg000002l	346152	350327	+	1768.7	1066	https://www.orthodb.org/v10?query=431at4891	L-aminoadipate-semialdehyde dehydrogenase
443at4891	Complete	C0000000006_ptg000006l	57371	62122	-	1109.3	841	https://www.orthodb.org/v10?query=443at4891	Vacuolar membrane-associated protein IML1
455at4891	Complete	C0000000008_ptg000008l	372368	376717	-	1042.8	1058	https://www.orthodb.org/v10?query=455at4891	Transcription elongation factor Spt6
468at4891	Complete	C0000000007_ptg000007l	557297	562264	-	1567.6	1022	https://www.orthodb.org/v10?query=468at4891	P-type ATPase
469at4891	Complete	C0000000003_ptg000003l	844787	849265	+	640.0	908	https://www.orthodb.org/v10?query=469at4891	Rho GTPase activation protein
471at4891	Complete	C0000000009_ptg000009l	471105	477599	-	842.8	1015	https://www.orthodb.org/v10?query=471at4891	Ras guanine nucleotide exchange factor domain superfamily
510at4891	Complete	C0000000005_ptg000005l	380764	384426	-	1193.5	943	https://www.orthodb.org/v10?query=510at4891	Protein MSN5
514at4891	Complete	C0000000015_ptg000015l	37223	42808	+	1487.6	1392	https://www.orthodb.org/v10?query=514at4891	Proteasome component ECM29
515at4891	Complete	C0000000009_ptg000009l	500143	504546	+	1583.5	987	https://www.orthodb.org/v10?query=515at4891	Chromo domain
519at4891	Complete	C0000000002_ptg000002l	577157	584632	-	1806.5	1723	https://www.orthodb.org/v10?query=519at4891	Armadillo-type fold
528at4891	Complete	C0000000008_ptg000008l	481156	485229	+	1774.7	1026	https://www.orthodb.org/v10?query=528at4891	PurM-like, C-terminal domain
535at4891	Duplicated	C0000000009_ptg000009l	368964	373115	-	731.4	828	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
535at4891	Duplicated	C0000000002_ptg000002l	727947	732170	-	846.5	863	https://www.orthodb.org/v10?query=535at4891	Nucleoporin-domain-containing protein
540at4891	Complete	C0000000007_ptg000007l	57922	62586	-	1063.5	1254	https://www.orthodb.org/v10?query=540at4891	Nucleoporin Nup188
569at4891	Complete	C0000000003_ptg000003l	702834	707309	+	1120.5	857	https://www.orthodb.org/v10?query=569at4891	DNA polymerase
578at4891	Complete	C0000000005_ptg000005l	458172	462242	-	899.9	984	https://www.orthodb.org/v10?query=578at4891	pre-mRNA 3'-end processing factor CF II
594at4891	Complete	C0000000011_ptg000011l	725480	728917	-	1921.2	972	https://www.orthodb.org/v10?query=594at4891	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
630at4891	Complete	C0000000005_ptg000005l	722204	727576	+	1767.2	1265	https://www.orthodb.org/v10?query=630at4891	Sec7, C-terminal
631at4891	Complete	C0000000012_ptg000012l	128632	132612	+	1692.0	930	https://www.orthodb.org/v10?query=631at4891	P-type ATPase
652at4891	Complete	C0000000014_ptg000014l	462050	467137	-	864.9	894	https://www.orthodb.org/v10?query=652at4891	Anaphase-promoting complex (APC), subunit 1 (meiotic check point regulator/Tsg24)
662at4891	Complete	C0000000006_ptg000006l	705688	711651	+	611.1	983	https://www.orthodb.org/v10?query=662at4891	Armadillo-type fold
665at4891	Complete	C0000000005_ptg000005l	1307495	1311091	+	1622.8	980	https://www.orthodb.org/v10?query=665at4891	Coatomer subunit alpha
676at4891	Complete	C0000000009_ptg000009l	91477	95103	+	1623.4	957	https://www.orthodb.org/v10?query=676at4891	P-type ATPase
692at4891	Complete	C0000000007_ptg000007l	704257	709422	-	1419.1	1263	https://www.orthodb.org/v10?query=692at4891	nucleic acid-binding protein
693at4891	Duplicated	C0000000010_ptg000010l	89143	92952	+	983.5	861	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
693at4891	Duplicated	C0000000014_ptg000014l	92509	97236	+	1035.4	878	https://www.orthodb.org/v10?query=693at4891	MAP kinase kinase kinase
695at4891	Complete	C0000000006_ptg000006l	113751	117101	+	1669.5	890	https://www.orthodb.org/v10?query=695at4891	Carbamoyl-phosphate synthase arginine-specific large chain
707at4891	Complete	C0000000008_ptg000008l	409674	414560	+	261.3	337	https://www.orthodb.org/v10?query=707at4891	Separin
721at4891	Complete	C0000000001_ptg000001l	209500	213552	-	1187.4	918	https://www.orthodb.org/v10?query=721at4891	DNA-directed RNA polymerase
722at4891	Complete	C0000000011_ptg000011l	498488	503428	-	964.5	967	https://www.orthodb.org/v10?query=722at4891	Acetyl-CoA synthetase-like protein
730at4891	Complete	C0000000005_ptg000005l	1225507	1228797	-	1468.5	857	https://www.orthodb.org/v10?query=730at4891	DNA polymerase
746at4891	Complete	C0000000013_ptg000013l	471951	475253	+	1351.4	740	https://www.orthodb.org/v10?query=746at4891	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
751at4891	Complete	C0000000002_ptg000002l	723429	726644	+	1668.9	922	https://www.orthodb.org/v10?query=751at4891	Aminoacyl-tRNA synthetase, class Ia
811at4891	Complete	C0000000011_ptg000011l	935513	938761	-	1203.8	804	https://www.orthodb.org/v10?query=811at4891	DNA polymerase gamma
845at4891	Complete	C0000000013_ptg000013l	423210	427205	-	1332.7	1007	https://www.orthodb.org/v10?query=845at4891	Elongator complex protein 1
863at4891	Complete	C0000000016_ptg000016l	320784	323822	-	1630.7	851	https://www.orthodb.org/v10?query=863at4891	2-oxoglutarate dehydrogenase E1 component
869at4891	Complete	C0000000003_ptg000003l	814542	818129	-	1591.3	850	https://www.orthodb.org/v10?query=869at4891	ABC transporter, conserved site
960at4891	Duplicated	C0000000013_ptg000013l	171409	174540	+	1712.3	912	https://www.orthodb.org/v10?query=960at4891	Elongation factor 3
960at4891	Duplicated	C0000000014_ptg000014l	168492	171623	-	1731.9	911	https://www.orthodb.org/v10?query=960at4891	Elongation factor 3
962at4891	Complete	C0000000011_ptg000011l	941699	944572	-	1434.7	811	https://www.orthodb.org/v10?query=962at4891	Alanine--tRNA ligase
982at4891	Complete	C0000000007_ptg000007l	615861	618917	+	1253.7	757	https://www.orthodb.org/v10?query=982at4891	Glycine cleavage system P protein
986at4891	Complete	C0000000003_ptg000003l	535822	541422	+	2091.6	1394	https://www.orthodb.org/v10?query=986at4891	SNF2-related, N-terminal domain
1006at4891	Complete	C0000000003_ptg000003l	391735	395241	-	1267.8	904	https://www.orthodb.org/v10?query=1006at4891	Niemann-Pick C1, N-terminal
1011at4891	Complete	C0000000014_ptg000014l	315995	320236	-	1628.6	954	https://www.orthodb.org/v10?query=1011at4891	DNA topoisomerase 2
1037at4891	Complete	C0000000014_ptg000014l	343427	347827	-	1327.1	927	https://www.orthodb.org/v10?query=1037at4891	DNA polymerase
1038at4891	Complete	C0000000011_ptg000011l	555805	559488	-	675.7	714	https://www.orthodb.org/v10?query=1038at4891	Ubiquitin specific protease, conserved site
1088at4891	Complete	C0000000005_ptg000005l	482687	485866	-	1209.0	825	https://www.orthodb.org/v10?query=1088at4891	P-loop containing nucleoside triphosphate hydrolase protein
