#                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
C0000000005_ptg000005l:158933-159484 -            184 33351at4891          -            167   1.9e-89  294.8   0.1   1   1   5.7e-92   2.2e-89  294.6   0.1     1   167     3   184     3   184 0.95 -
C0000000009_ptg000009l:224544-226373 -            610 33351at4891          -            167   0.00025   18.0   0.1   1   3     0.018       6.8    3.5   0.0     7    25   114   133   109   176 0.79 -
C0000000009_ptg000009l:224544-226373 -            610 33351at4891          -            167   0.00025   18.0   0.1   2   3      0.11        43    0.9   0.0    34    87   312   361   293   388 0.75 -
C0000000009_ptg000009l:224544-226373 -            610 33351at4891          -            167   0.00025   18.0   0.1   3   3   0.00032      0.12    9.2   0.0     3    29   424   450   422   481 0.84 -
C0000000003_ptg000003l:57963-59273   -            437 33351at4891          -            167   0.00078   16.3   0.0   1   1   3.9e-06    0.0015   15.4   0.0     3    67   169   235   167   267 0.69 -
C0000000013_ptg000013l:171409-174540 -           1044 33351at4891          -            167    0.0052   13.6   0.0   1   2     0.011         4    4.3   0.0     5    22   461   478   457   497 0.82 -
C0000000013_ptg000013l:171409-174540 -           1044 33351at4891          -            167    0.0052   13.6   0.0   2   2    0.0024      0.89    6.4   0.0     3    25   697   719   695   773 0.78 -
C0000000014_ptg000014l:168492-171623 -           1044 33351at4891          -            167    0.0061   13.4   0.0   1   2     0.011       4.3    4.2   0.0     5    22   461   478   457   497 0.82 -
C0000000014_ptg000014l:168492-171623 -           1044 33351at4891          -            167    0.0061   13.4   0.0   2   2    0.0024      0.89    6.4   0.0     3    25   697   719   695   773 0.78 -
C0000000009_ptg000009l:531066-533027 -            654 33351at4891          -            167     0.011   12.6   0.3   1   2   7.3e-05     0.028   11.3   0.0     2    62    99   164    98   174 0.58 -
C0000000009_ptg000009l:531066-533027 -            654 33351at4891          -            167     0.011   12.6   0.3   2   2       2.2   8.4e+02   -3.3   0.1   129   158   580   609   566   612 0.77 -
C0000000005_ptg000005l:943290-944903 -            538 33351at4891          -            167     0.023   11.6   0.0   1   1   0.00012     0.045   10.6   0.0     5    38   336   369   333   382 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/deepseq/tool/BUSCO_v5/saccharomycetes_odb10/hmms/33351at4891.hmm
# Target file:     /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478/202302230949-GVF6W5EPF13MH478_busco/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR13577846.fa.ca.modified.fas
# Option settings: hmmsearch --domtblout /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478/202302230949-GVF6W5EPF13MH478_busco/run_saccharomycetes_odb10/hmmer_output/initial_run_results/33351at4891.out --cpu 1 /home/deepseq/tool/BUSCO_v5/saccharomycetes_odb10/hmms/33351at4891.hmm /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478/202302230949-GVF6W5EPF13MH478_busco/run_saccharomycetes_odb10/metaeuk_output/initial_results/SRR13577846.fa.ca.modified.fas 
# Current dir:     /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478
# Date:            Thu Feb 23 09:51:11 2023
# [ok]
